,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,-9999
478,D.J. White,2013,2013,1,12,86,12,23,0,0,5,9,4,13,4,1,6,2,5,29,.522,,.556,7.2,2.4,1.1,0.3,whitedj01
479,Derrick White,2022,2023,2,108,3032,444,988,183,502,232,267,65,381,413,69,92,127,233,1303,.449,.365,.869,28.1,12.1,3.5,3.8,whitede01
480,Jo Jo White,1970,1979,10,717,26770,5648,12782,,,1892,2270,407,3071,3686,561,95,259,1776,13188,.442,,.833,37.3,18.4,4.3,5.1,whitejo01
481,Sidney Wicks,1977,1978,2,163,5055,897,1939,,,527,793,491,1497,340,131,107,226,649,2321,.463,,.665,31.0,14.2,9.2,2.1,wickssi01
482,Chris Wilcox,2012,2013,2,89,1311,174,260,0,1,63,97,93,302,34,43,37,64,189,411,.669,.000,.649,14.7,4.6,3.4,0.4,wilcoch01
483,Dominique Wilkins,1995,1995,1,77,2423,496,1169,112,289,266,340,157,401,166,61,14,173,130,1370,.424,.388,.782,31.5,17.8,5.2,2.2,wilkido01
484,Art Williams,1971,1974,4,303,4058,494,1098,,,220,290,20,758,959,44,3,,622,1208,.450,,.759,13.4,4.0,2.5,3.2,williar01
485,Earl Williams,1979,1979,1,20,273,54,123,,,14,24,41,105,12,12,9,20,41,122,.439,,.583,13.7,6.1,5.3,0.6,williea01
486,Eric Williams,1996,2004,7,462,11638,1417,3337,148,457,1266,1730,559,1607,678,421,81,592,1169,4248,.425,.324,.732,25.2,9.2,3.5,1.5,willier01
487,Grant Williams,2020,2023,4,288,6101,616,1366,293,774,249,322,258,993,341,141,148,250,702,1774,.451,.379,.773,21.2,6.2,3.4,1.2,willigr01
488,Lorenzo Williams,1993,1993,1,22,151,16,31,0,0,2,7,13,44,5,4,14,6,23,34,.516,,.286,6.9,1.5,2.0,0.2,willilo01
489,Ray Williams,1985,1985,1,23,459,55,143,6,23,31,46,16,57,90,30,5,42,56,147,.385,.261,.674,20.0,6.4,2.5,3.9,willira01
490,Robert Williams,2019,2023,5,209,4284,684,935,0,4,166,253,542,1447,299,152,348,180,397,1534,.732,.000,.656,20.5,7.3,6.9,1.4,williro04
491,Sean Williams,2012,2012,1,3,42,2,6,0,0,7,7,4,12,3,3,3,3,4,11,.333,,1.000,14.0,3.7,4.0,1.0,willise01
492,Shammond Williams,2003,2003,1,51,1169,134,338,56,159,48,57,12,110,128,61,3,61,84,372,.396,.352,.842,22.9,7.3,2.2,2.5,willish01
493,Shelden Williams,2010,2010,1,54,597,63,121,0,1,75,98,47,146,21,13,21,30,85,201,.521,.000,.765,11.1,3.7,2.7,0.4,willish02
494,Sly Williams,1986,1986,1,6,54,5,21,0,4,7,12,7,15,2,1,1,7,15,17,.238,.000,.583,9.0,2.8,2.5,0.3,willisl01
495,Terrence Williams,2013,2013,1,24,318,48,97,5,15,9,21,4,44,38,11,2,22,13,110,.495,.333,.429,13.3,4.6,1.8,1.6,willite01
496,Willie Williams,1971,1971,1,16,56,6,32,,,3,5,,10,2,,,,8,15,.188,,.600,3.5,0.9,0.6,0.1,williwi01
497,Bobby Wilson,1977,1977,1,25,131,19,59,,,11,13,3,9,14,3,0,,19,49,.322,,.846,5.2,2.0,0.4,0.6,wilsobo03
498,Joe Wolf,1993,1993,1,2,9,0,1,0,0,1,2,1,3,0,0,1,2,2,1,.000,,.500,4.5,0.5,1.5,0.0,wolfjo01
499,Rubén Wolkowyski,2003,2003,1,7,24,2,4,0,1,1,4,0,1,1,0,0,1,3,5,.500,.000,.250,3.4,0.7,0.1,0.1,wolkoru01
500,Brandan Wright,2015,2015,1,8,86,12,21,0,0,2,4,7,17,8,1,5,5,4,26,.571,,.500,10.8,3.3,2.1,1.0,wrighbr03
501,A.J. Wynder,1991,1991,1,6,39,3,12,0,1,6,8,1,3,8,1,0,4,1,12,.250,.000,.750,6.5,2.0,0.5,1.3,wyndeaj01
502,Guerschon Yabusele,2018,2019,2,74,486,61,138,21,65,30,44,40,105,31,12,12,27,55,173,.442,.323,.682,6.6,2.3,1.4,0.4,yabusgu01
503,James Young,2015,2017,3,89,751,72,196,35,127,23,42,19,94,26,24,5,14,54,202,.367,.276,.548,8.4,2.3,1.1,0.3,youngja01
504,Tyler Zeller,2015,2017,3,193,2966,556,1067,0,1,263,333,251,767,184,35,95,142,363,1375,.521,.000,.790,15.4,7.1,4.0,1.0,zellety01
