,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,-9999
65,Chris Copeland,2014,2015,2,91,1093,167,427,85,246,43,59,30,143,69,14,18,73,116,462,.391,.346,.729,12.0,5.1,1.6,0.8,copelch01
66,Torrey Craig,2022,2022,1,51,1034,128,281,46,138,27,35,59,195,58,24,19,39,95,329,.456,.333,.771,20.3,6.5,3.8,1.1,craigto01
67,Austin Croshere,1998,2006,9,540,10196,1338,3261,376,1095,983,1140,623,2325,544,222,203,595,961,4035,.410,.343,.862,18.9,7.5,4.3,1.0,croshau01
68,Michael Curry,2005,2005,1,18,249,13,29,0,0,4,8,8,27,15,5,4,5,39,30,.448,,.500,13.8,1.7,1.5,0.8,currymi01
69,Erick Dampier,1997,1997,1,72,1052,131,336,1,1,107,168,96,294,43,19,73,84,153,370,.390,1.000,.637,14.6,5.1,4.1,0.6,dampier01
70,Marquis Daniels,2007,2009,3,173,4046,681,1531,51,218,246,348,172,542,308,168,51,261,297,1659,.445,.234,.707,23.4,9.6,3.1,1.8,daniema01
71,Mel Daniels,1969,1974,6,479,17756,3700,7666,2,29,1912,2815,2182,7643,900,56,249,1538,1764,9314,.483,.069,.679,37.1,19.4,16.0,1.9,danieme01
72,Adrian Dantley,1978,1978,1,23,948,201,403,,,207,263,94,216,65,48,17,67,76,609,.499,,.787,41.2,26.5,9.4,2.8,dantlad01
73,Ollie Darden,1968,1970,2,103,2333,418,952,1,5,196,293,22,617,82,,,165,325,1033,.439,.200,.669,22.7,10.0,6.0,0.8,dardeol01
74,Antonio Davis,1994,1999,6,420,10651,1287,2669,2,20,1210,1773,981,2788,282,206,377,552,1201,3786,.482,.100,.682,25.4,9.0,6.6,0.7,davisan01
75,Brad Davis,1979,1980,2,27,276,25,51,0,0,16,23,1,18,48,17,2,14,29,66,.490,,.696,10.2,2.4,0.7,1.8,davisbr01
76,Dale Davis,1992,2005,10,671,19814,2597,4786,0,3,1059,1993,2276,6006,572,468,904,811,1982,6253,.543,.000,.531,29.5,9.3,9.0,0.9,davisda01
77,Johnny Davis,1979,1982,4,319,11083,2025,4469,13,102,1171,1441,300,765,1719,376,70,769,710,5234,.453,,.813,34.7,16.4,2.4,5.4,davisjo01
78,Jimmy Dawson,1968,1968,1,21,288,46,133,1,7,25,43,,21,32,,,16,16,118,.346,.143,.581,13.7,5.6,1.0,1.5,dawsoji01
79,Don Dee,1969,1969,1,58,989,138,387,0,1,56,75,104,292,33,,,72,179,332,.357,.000,.747,17.1,5.7,5.0,0.6,deedo01
80,Travis Diener,2008,2010,3,125,2100,234,615,121,356,76,88,32,203,377,64,9,76,150,665,.380,.340,.864,16.8,5.3,1.6,3.0,dienetr01
81,Byron Dinkins,1991,1991,1,2,5,1,1,0,0,0,0,0,1,0,0,0,0,3,2,1.000,,,2.5,1.0,0.5,0.0,dinkiby01
82,Ike Diogu,2007,2008,2,72,843,147,317,0,0,117,143,92,225,30,12,18,69,130,411,.464,,.818,11.7,5.7,3.1,0.4,dioguik01
83,Greg Dreiling,1987,1993,7,322,2684,247,523,1,7,197,296,189,656,122,52,84,173,591,692,.472,.143,.666,8.3,2.1,2.0,0.4,dreilgr01
84,Chris Duarte,2022,2023,2,101,2438,391,954,149,429,151,184,60,341,178,81,19,131,160,1082,.410,.347,.821,24.1,10.7,3.4,1.8,duartch01
85,Mike Dunleavy,2007,2011,5,271,8146,1312,2907,408,1089,755,919,170,1248,651,222,95,447,576,3787,.451,.375,.822,30.1,14.0,4.6,2.4,dunlemi02
86,John Duren,1983,1983,1,82,1433,163,360,0,13,43,54,38,107,200,66,5,96,203,369,.453,.000,.796,17.5,4.5,1.3,2.4,durenjo01
87,Devin Durrant,1985,1985,1,59,756,114,274,0,3,72,102,49,124,80,19,10,77,106,300,.416,.000,.706,12.8,5.1,2.1,1.4,durrade01
88,Kenton Edelin,1985,1985,1,10,143,4,13,0,0,3,8,8,26,10,5,4,3,39,11,.308,,.375,14.3,1.1,2.6,1.0,edelike01
89,Charles Edge,1975,1975,1,77,1142,195,386,0,3,63,114,164,340,39,53,35,82,103,453,.505,.000,.553,14.8,5.9,4.4,0.5,edgech01
90,Bobby Edmonds,1968,1970,2,75,1350,214,493,1,6,151,232,2,378,29,,,123,184,580,.434,.167,.651,18.0,7.7,5.0,0.4,edmonbo01
91,Tyus Edney,2001,2001,1,24,263,35,91,1,6,35,39,5,24,54,17,0,25,17,106,.385,.167,.897,11.0,4.4,1.0,2.3,edneyty01
92,James Edwards,1978,1981,4,303,8917,1923,3878,0,4,965,1423,702,2277,487,184,391,569,1224,4811,.496,,.678,29.4,15.9,7.5,1.6,edwarja01
93,John Edwards,2005,2005,1,25,139,11,30,0,0,7,14,8,19,3,3,4,8,12,29,.367,,.500,5.6,1.2,0.8,0.1,edwarjo01
94,Monta Ellis,2016,2017,2,155,4732,683,1578,130,417,255,334,61,475,619,228,64,338,323,1751,.433,.312,.763,30.5,11.3,3.1,4.0,ellismo01
