,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,-9999
44,DeMarre Carroll,2010,2011,2,78,834,92,231,0,6,35,55,55,158,35,29,10,24,112,219,.398,.000,.636,10.7,2.8,2.0,0.4,carrode01
45,Jevon Carter,2019,2019,1,39,577,56,185,34,102,26,32,14,66,69,26,11,33,55,172,.303,.333,.813,14.8,4.4,1.7,1.8,carteje01
46,Vince Carter,2015,2017,3,199,3895,461,1239,240,697,203,256,94,506,268,141,66,128,366,1365,.372,.344,.793,19.6,6.9,2.5,1.3,cartevi01
47,Omri Casspi,2019,2019,1,36,520,86,161,15,43,39,58,17,115,26,20,9,23,35,226,.534,.349,.672,14.4,6.3,3.2,0.7,casspom01
48,Mario Chalmers,2016,2018,2,121,2674,340,855,98,329,324,387,36,300,408,159,26,218,344,1102,.398,.298,.837,22.1,9.1,2.5,3.4,chalmma01
49,Kennedy Chandler,2023,2023,1,36,281,35,83,2,15,6,13,9,38,58,12,5,18,15,78,.422,.133,.462,7.8,2.2,1.1,1.6,chandke01
50,Pete Chilcutt,1997,1999,3,182,2779,291,696,105,267,66,98,173,579,181,101,66,118,262,753,.418,.393,.673,15.3,4.1,3.2,1.0,chilcpe01
51,Brandon Clarke,2020,2023,4,237,5051,1069,1770,49,169,347,492,416,1325,334,165,204,177,437,2534,.604,.290,.705,21.3,10.7,5.6,1.4,clarkbr01
52,Jason Collins,2008,2008,1,31,488,30,59,0,1,20,38,29,89,6,12,17,25,84,80,.508,.000,.526,15.7,2.6,2.9,0.2,collija04
53,Mike Conley,2008,2019,12,788,25700,4182,9484,1086,2894,2283,2788,340,2327,4509,1161,162,1586,1548,11733,.441,.375,.819,32.6,14.9,3.0,5.7,conlemi01
54,Will Conroy,2007,2007,1,3,17,0,0,0,0,0,0,1,2,1,0,0,0,1,0,,,,5.7,0.0,0.7,0.3,conrowi01
55,Bryce Cotton,2016,2016,1,5,6,2,2,0,0,0,0,0,0,0,0,0,0,0,4,1.000,,,1.2,0.8,0.0,0.0,cottobr01
56,Javaris Crittenton,2008,2009,2,35,552,79,195,9,35,58,87,24,95,38,13,2,36,40,225,.405,.257,.667,15.8,6.4,2.7,1.1,crittja01
57,Jae Crowder,2020,2020,1,45,1322,147,399,78,266,75,95,40,277,125,47,14,54,85,447,.368,.293,.789,29.4,9.9,6.2,2.8,crowdja01
58,Jarrett Culver,2022,2022,1,37,338,51,135,12,47,16,34,13,48,33,20,5,20,42,130,.378,.255,.471,9.1,3.5,1.3,0.9,culveja01
59,Dante Cunningham,2012,2012,1,64,1124,144,279,0,2,45,69,91,246,37,42,34,29,98,333,.516,.000,.652,17.6,5.2,3.8,0.6,cunnida01
60,Seth Curry,2014,2014,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,4.0,0.0,0.0,0.0,curryse01
61,Antonio Daniels,1998,1998,1,74,1956,228,548,11,52,112,170,22,143,334,55,10,164,88,579,.416,.212,.659,26.4,7.8,1.9,4.5,daniean01
62,Troy Daniels,2017,2017,1,67,1183,185,495,138,355,43,54,22,100,46,20,4,45,90,551,.374,.389,.796,17.7,8.2,1.5,0.7,danietr01
63,Deyonta Davis,2017,2018,2,98,1181,185,312,0,0,48,75,95,310,42,18,56,40,165,418,.593,,.640,12.1,4.3,3.2,0.4,davisde01
64,Ed Davis,2013,2014,2,99,1500,229,433,0,0,84,154,149,420,35,30,90,58,194,542,.529,,.545,15.2,5.5,4.2,0.4,davised01
65,Josh Davis,2012,2012,1,15,130,10,27,4,13,4,8,16,27,6,7,1,3,19,28,.370,.308,.500,8.7,1.9,1.8,0.4,davisjo02
66,Austin Daye,2013,2013,1,31,328,47,111,20,58,11,16,6,60,21,9,14,16,39,125,.423,.345,.688,10.6,4.0,1.9,0.7,dayeau01
67,Terry Dehere,1999,1999,1,22,271,27,74,15,34,5,7,5,22,26,5,3,14,28,74,.365,.441,.714,12.3,3.4,1.0,1.2,deherte01
68,Michael Dickerson,2000,2003,4,162,5932,1004,2362,217,553,485,605,152,526,458,186,74,341,461,2710,.425,.392,.802,36.6,16.7,3.2,2.8,dickemi01
