,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,-9999
216,Jim Rowinski,1990,1990,1,14,112,14,32,0,0,22,26,17,29,5,1,2,10,19,50,.438,,.846,8.0,3.6,2.1,0.4,rowinji01
217,John Salley,1993,1995,3,202,5287,559,1138,2,3,432,576,355,1056,341,135,233,292,731,1552,.491,.667,.750,26.2,7.7,5.2,1.7,sallejo01
218,Danny Schayes,1996,1996,1,32,399,32,94,0,0,37,46,29,89,9,11,16,23,60,101,.340,,.804,12.5,3.2,2.8,0.3,schayda01
219,James Scott,1997,1997,1,8,32,0,8,0,4,1,2,1,6,3,2,0,2,5,1,.000,.000,.500,4.0,0.1,0.8,0.4,scottja01
220,Rony Seikaly,1989,1994,6,439,14208,2486,5152,4,24,1766,2669,1474,4544,573,312,610,1255,1546,6742,.483,.167,.662,32.4,15.4,10.4,1.3,seikaro01
221,John Shasky,1989,1989,1,65,944,121,248,0,2,115,167,96,232,22,14,13,46,94,357,.488,.000,.689,14.5,5.5,3.6,0.3,shaskjo01
222,Brian Shaw,1992,1994,3,191,4627,614,1517,121,362,162,218,213,742,781,164,52,336,444,1511,.405,.334,.743,24.2,7.9,3.9,4.1,shawbr01
223,Chris Silva,2020,2022,3,64,517,65,106,1,4,58,82,80,186,36,10,27,49,125,189,.613,.250,.707,8.1,3.0,2.9,0.6,silvach01
224,Wayne Simien,2006,2007,2,51,507,67,143,0,0,35,41,43,99,11,15,1,27,83,169,.469,,.854,9.9,3.3,1.9,0.2,simiewa01
225,Javonte Smart,2022,2022,1,4,40,8,17,4,9,0,0,1,5,2,2,1,2,1,20,.471,.444,,10.0,5.0,1.3,0.5,smartja01
226,Charles Smith,1998,1998,1,11,32,4,18,1,3,1,2,5,8,2,2,1,6,3,10,.222,.333,.500,2.9,0.9,0.7,0.2,smithch04
227,Dru Smith,2023,2023,1,5,67,5,14,1,6,0,0,1,9,5,4,3,1,10,11,.357,.167,,13.4,2.2,1.8,1.0,smithdr01
228,Steve Smith,1992,2005,5,202,6368,1087,2408,189,546,542,676,299,759,960,197,71,490,544,2905,.451,.346,.802,31.5,14.4,3.8,4.8,smithst01
229,Tony Smith,1996,1996,1,25,410,46,101,13,39,4,9,6,39,68,16,5,26,46,109,.455,.333,.444,16.4,4.4,1.6,2.7,smithto02
230,Rory Sparrow,1989,1990,2,162,4369,654,1492,26,114,153,184,92,354,727,152,21,303,308,1487,.438,.228,.832,27.0,9.2,2.2,4.5,sparrro01
231,Jerry Stackhouse,2011,2011,1,7,50,3,12,1,4,5,7,1,7,3,0,2,2,3,12,.250,.250,.714,7.1,1.7,1.0,0.4,stackje01
232,Nik Stauskas,2022,2022,1,2,24,3,8,2,4,3,4,1,3,1,0,0,0,1,11,.375,.500,.750,12.0,5.5,1.5,0.5,stausni01
233,Vladimir Stepania,2002,2003,2,146,2478,302,676,1,2,121,238,311,824,40,69,84,121,272,726,.447,.500,.508,17.0,5.0,5.6,0.3,stepavl01
234,Jarnell Stokes,2016,2016,1,5,14,3,5,0,0,1,2,0,2,1,1,0,0,1,7,.600,,.500,2.8,1.4,0.4,0.2,stokeja01
235,Amar'e Stoudemire,2016,2016,1,52,762,125,221,0,0,50,67,65,222,27,18,41,47,92,300,.566,,.746,14.7,5.8,4.3,0.5,stoudam01
236,Mark Strickland,1997,2000,4,172,2020,342,654,0,3,130,185,166,468,58,44,70,99,200,814,.523,.000,.703,11.7,4.7,2.7,0.3,stricma01
237,Rod Strickland,2002,2002,1,76,2294,316,714,8,26,154,201,49,232,463,82,11,159,114,794,.443,.308,.766,30.2,10.4,3.1,6.1,stricro02
238,Max Strus,2021,2023,3,187,4366,658,1541,428,1153,136,166,78,501,287,81,30,135,325,1880,.427,.371,.819,23.3,10.1,2.7,1.5,strusma01
239,Jon Sundvold,1989,1992,4,158,2438,499,1148,108,228,102,120,36,167,265,59,1,155,160,1208,.435,.474,.850,15.4,7.6,1.1,1.7,sundvjo01
240,Anthony Taylor,1989,1989,1,21,368,60,151,0,2,24,32,11,34,43,22,5,20,37,144,.397,.000,.750,17.5,6.9,1.6,2.0,tayloan01
241,Emanuel Terry,2019,2019,1,1,3,0,1,0,0,1,2,1,1,1,0,0,0,0,1,.000,,.500,3.0,1.0,1.0,1.0,terryem01
