,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,-9999
393,Linton Townes,1985,1985,1,1,8,0,6,0,0,2,2,1,1,0,0,0,0,1,2,.000,,1.000,8.0,2.0,1.0,0.0,towneli01
394,Ansley Truitt,1973,1973,1,16,86,18,42,0,0,3,9,10,38,2,,,7,9,39,.429,,.333,5.4,2.4,2.4,0.1,truitan01
395,Trent Tucker,1992,1992,1,24,415,60,129,19,48,16,20,8,37,27,21,3,14,39,155,.465,.396,.800,17.3,6.5,1.5,1.1,tucketr01
396,Hedo Türkoğlu,2004,2004,1,80,2073,262,645,101,241,114,161,52,358,154,80,32,94,165,739,.406,.419,.708,25.9,9.2,4.5,1.9,turkohe01
397,Ime Udoka,2008,2011,3,160,2481,274,683,102,298,76,112,69,434,130,100,30,101,227,726,.401,.342,.679,15.5,4.5,2.7,0.8,udokaim01
398,Beno Udrih,2005,2007,3,207,2683,406,967,115,327,159,199,45,217,364,82,13,186,221,1086,.420,.352,.799,13.0,5.2,1.0,1.8,udrihbe01
399,Nick Van Exel,2006,2006,1,65,986,136,343,55,154,28,41,6,91,123,16,3,57,60,355,.397,.357,.683,15.2,5.5,1.4,1.9,vanexni01
400,Dennis Van Zant,1976,1976,1,1,2,0,0,0,0,2,2,0,1,0,0,0,0,1,2,,,1.000,2.0,2.0,1.0,0.0,vanzade01
401,Devin Vassell,2021,2023,3,171,4171,710,1662,292,796,204,250,76,628,328,162,76,137,288,1916,.427,.367,.816,24.4,11.2,3.7,1.9,vassede01
402,Jacque Vaughn,2007,2009,3,168,2191,216,525,5,13,126,163,25,164,345,53,3,109,197,563,.411,.385,.773,13.0,3.4,1.0,2.1,vaughja01
403,Bob Verga,1968,1968,1,31,1285,280,633,13,50,162,218,,138,74,,,95,93,735,.442,.260,.743,41.5,23.7,4.5,2.4,vergabo01
404,Jay Vincent,1989,1989,1,24,551,91,219,0,1,35,51,36,92,22,5,3,37,52,217,.416,.000,.686,23.0,9.0,3.8,0.9,vinceja01
405,Lonnie Walker IV,2019,2022,4,208,4240,735,1776,257,749,225,289,55,492,330,112,51,184,284,1952,.414,.343,.779,20.4,9.4,2.4,1.6,walkelo01
406,Samaki Walker,2000,2001,2,132,1943,258,557,1,3,164,250,144,515,67,20,76,132,211,681,.463,.333,.656,14.7,5.2,3.9,0.5,walkesa01
407,Charlie Ward,2004,2004,1,36,425,45,130,25,68,4,6,2,48,45,17,3,27,33,119,.346,.368,.667,11.8,3.3,1.3,1.3,wardch01
408,Henry Ward,1976,1977,2,88,859,188,423,6,23,31,44,55,173,41,22,15,45,129,413,.444,,.705,9.8,4.7,2.0,0.5,wardhe01
409,Jim Ware,1969,1969,1,1,15,3,4,0,0,1,2,2,7,1,,,1,4,7,.750,,.500,15.0,7.0,7.0,1.0,wareji01
410,Bob Warren,1973,1975,3,116,1650,208,452,3,9,138,160,77,195,145,44,14,114,174,557,.460,.333,.863,14.2,4.8,1.7,1.3,warrebo01
411,Darius Washington,2008,2008,1,18,146,21,48,4,12,7,13,4,20,15,5,0,14,16,53,.438,.333,.538,8.1,2.9,1.1,0.8,washida01
412,Quinndary Weatherspoon,2020,2021,2,31,199,21,52,2,11,14,18,4,18,19,11,3,15,26,58,.404,.182,.778,6.4,1.9,0.6,0.6,weathqu01
413,Brant Weidner,1984,1984,1,8,38,2,9,0,0,4,4,4,11,0,0,2,2,5,8,.222,,1.000,4.8,1.0,1.4,0.0,weidnbr01
414,Chris Welp,1990,1990,1,13,56,7,23,0,0,1,2,7,12,5,1,0,6,21,15,.304,,.500,4.3,1.2,0.9,0.4,welpch01
415,Blake Wesley,2023,2023,1,37,669,69,215,20,52,26,44,11,81,99,25,5,65,67,184,.321,.385,.591,18.1,5.0,2.2,2.7,weslebl01
416,David West,2016,2016,1,78,1404,244,448,3,7,63,80,72,309,143,44,55,68,142,554,.545,.429,.788,18.0,7.1,4.0,1.8,westda01
417,Ennis Whatley,1986,1986,1,2,14,1,2,0,0,0,0,0,0,3,0,0,4,1,2,.500,,,7.0,1.0,0.0,1.5,whatlen01
418,Derrick White,2018,2022,5,237,6094,958,2151,300,872,525,628,113,776,914,190,187,324,512,2741,.445,.344,.836,25.7,11.6,3.3,3.9,whitede01
419,James White,2007,2007,1,6,137,18,41,2,7,12,15,3,20,5,3,1,5,7,50,.439,.286,.800,22.8,8.3,3.3,0.8,whiteja02
420,Jerome Whitehead,1989,1989,1,52,580,69,176,0,0,30,45,49,129,17,22,4,22,107,168,.392,,.667,11.2,3.2,2.5,0.3,whiteje01
421,Chris Whitney,1994,1995,2,65,518,39,129,13,49,23,26,9,42,81,15,1,55,87,114,.302,.265,.885,8.0,1.8,0.6,1.2,whitnch01
422,Joe Wieskamp,2022,2022,1,29,205,20,56,14,43,7,13,4,14,9,4,3,2,14,61,.357,.326,.538,7.1,2.1,0.5,0.3,wieskjo01
