,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,-9999
45,Randy Breuer,1984,1990,7,452,8139,1305,2714,0,1,628,961,713,1986,356,202,474,484,1040,3238,.481,.000,.653,18.0,7.2,4.4,0.8,breuera01
46,Primož Brezec,2010,2010,1,14,59,7,13,0,0,0,4,6,13,1,0,2,2,10,14,.538,,.000,4.2,1.0,0.9,0.1,brezepr01
47,Frank Brickowski,1991,1994,4,249,6984,1385,2647,14,52,666,870,399,1454,614,278,126,599,878,3450,.523,.269,.766,28.0,13.9,5.8,2.5,brickfr01
48,Junior Bridgeman,1976,1987,10,711,18054,4142,8658,20,107,1588,1891,826,2642,1787,607,194,985,1760,9892,.478,,.840,25.4,13.9,3.7,2.5,bridgju01
49,Jon Brockman,2011,2012,2,98,916,63,139,0,1,47,74,107,259,27,18,4,34,152,173,.453,.000,.635,9.3,1.8,2.6,0.3,brockjo01
50,Malcolm Brogdon,2017,2019,3,187,5250,912,1886,244,598,325,363,135,657,674,171,38,270,370,2393,.484,.408,.895,28.1,12.8,3.5,3.6,brogdma01
51,Gary Brokaw,1975,1977,3,189,3998,601,1357,,,390,548,72,336,578,90,58,,399,1592,.443,,.712,21.2,8.4,1.8,3.1,brokaga01
52,Chucky Brown,1997,1997,1,60,674,65,128,1,6,39,59,38,132,24,9,20,15,86,170,.508,.167,.661,11.2,2.8,2.2,0.4,brownch01
53,Sterling Brown,2018,2020,3,164,2577,322,773,129,374,82,106,87,510,160,85,28,113,222,855,.417,.345,.774,15.7,5.2,3.1,1.0,brownst02
54,Tony Brown,1989,1990,2,90,909,124,279,7,27,56,79,54,101,62,44,8,61,107,311,.444,.259,.709,10.1,3.5,1.1,0.7,brownto01
55,Elijah Bryant,2021,2021,1,1,32,6,13,1,5,3,3,2,6,3,0,1,4,4,16,.462,.200,1.000,32.0,16.0,6.0,3.0,bryanel01
56,Quinn Buckner,1977,1982,6,461,12154,2037,4346,7,26,657,996,460,1507,2391,1042,67,1001,1493,4738,.469,,.660,26.4,10.3,3.3,5.2,bucknqu01
57,Caron Butler,2014,2014,1,34,821,137,354,53,147,47,56,16,158,56,23,11,52,64,374,.387,.361,.839,24.1,11.0,4.6,1.6,butleca01
58,Jason Caffey,2001,2003,3,144,2637,328,687,0,1,238,360,227,579,103,61,45,152,345,894,.477,.000,.661,18.3,6.2,4.0,0.7,caffeja01
59,Isaiah Canaan,2019,2019,1,4,31,2,6,2,5,0,0,1,4,3,0,1,2,2,6,.333,.400,,7.8,1.5,1.0,0.8,canaais01
60,Jimmy Carruth,1997,1997,1,4,21,2,3,0,0,1,1,0,4,0,0,2,1,4,5,.667,,1.000,5.3,1.3,1.0,0.0,carruji01
61,Fred Carter,1977,1977,1,47,875,166,399,,,58,77,45,93,104,28,7,,96,390,.416,,.753,18.6,8.3,2.0,2.2,cartefr01
62,Jevon Carter,2022,2023,2,101,2163,279,644,166,380,39,46,40,245,247,76,33,86,180,763,.433,.437,.848,21.4,7.6,2.4,2.4,carteje01
63,Michael Carter-Williams,2015,2016,2,79,2407,383,863,19,83,191,271,69,375,421,131,53,232,226,976,.444,.229,.705,30.5,12.4,4.7,5.3,cartemi01
64,Sam Cassell,1999,2003,5,313,11012,2200,4705,187,558,1352,1562,230,1254,2269,374,42,849,902,5939,.468,.335,.866,35.2,19.0,4.0,7.2,cassesa01
65,Harvey Catchings,1980,1984,5,372,7314,476,1118,0,2,223,357,668,1918,398,149,709,407,1108,1175,.426,.000,.625,19.7,3.2,5.2,1.1,catchha01
66,Len Chappell,1969,1970,2,155,3341,702,1534,,,385,550,,913,151,,,,374,1789,.458,,.700,21.6,11.5,5.9,1.0,chapple01
67,Ben Coleman,1990,1990,1,22,305,46,97,0,1,34,41,31,87,12,7,7,26,54,126,.474,.000,.829,13.9,5.7,4.0,0.5,colembe01
68,Don Collins,1987,1987,1,6,57,10,28,0,0,5,7,11,15,2,2,1,5,11,25,.357,,.714,9.5,4.2,2.5,0.3,collido02
69,Bonzie Colson,2019,2019,1,8,98,13,39,5,21,8,9,8,30,3,5,1,3,3,39,.333,.238,.889,12.3,4.9,3.8,0.4,colsobo01
70,Marty Conlon,1995,1996,2,156,3022,497,974,13,59,203,304,218,603,178,62,29,202,344,1210,.510,.220,.668,19.4,7.8,3.9,1.1,conloma01
71,Pat Connaughton,2019,2023,5,323,7213,860,1955,477,1330,163,215,279,1430,469,203,105,186,405,2360,.440,.359,.758,22.3,7.3,4.4,1.5,connapa01
