,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,-9999
117,Joey Dorsey,2010,2010,1,8,52,4,9,0,0,4,10,5,18,0,1,1,2,9,12,.444,,.400,6.5,1.5,2.3,0.0,dorsejo01
118,Quincy Douby,2007,2009,3,136,1462,210,549,64,209,73,82,31,145,81,47,21,80,124,557,.383,.306,.890,10.8,4.1,1.1,0.6,doubyqu01
119,Bruce Douglas,1987,1987,1,8,98,7,24,0,1,0,4,5,14,17,9,0,9,9,14,.292,.000,.000,12.3,1.8,1.8,2.1,douglbr01
120,Leon Douglas,1981,1983,3,147,2495,257,466,0,3,134,268,264,681,104,40,79,146,474,648,.552,.000,.500,17.0,4.4,4.6,0.7,douglle01
121,Toney Douglas,2013,2013,1,22,376,49,114,21,54,16,16,11,48,58,31,1,25,42,135,.430,.389,1.000,17.1,6.1,2.2,2.6,douglto01
122,PJ Dozier,2023,2023,1,16,79,10,33,2,16,0,0,1,14,10,6,1,5,7,22,.303,.125,,4.9,1.4,0.9,0.6,doziepj01
123,Larry Drew,1982,1986,5,376,11370,2264,4690,30,112,985,1235,171,791,2409,516,31,952,808,5543,.483,.268,.798,30.2,14.7,2.1,6.4,drewla01
124,Dick Duckett,1958,1958,1,34,424,54,158,,,24,27,,56,47,,,,60,132,.342,,.889,12.5,3.9,1.6,1.4,duckedi01
125,Duje Dukan,2016,2016,1,1,24,2,10,2,5,0,0,2,4,1,1,0,0,2,6,.200,.400,,24.0,6.0,4.0,1.0,dukandu01
126,Andy Duncan,1949,1950,2,122,,287,680,,,143,243,,,93,,,,339,717,.422,,.588,,5.9,,0.8,duncaan01
127,Ken Durrett,1972,1975,4,93,935,157,354,,,80,125,42,171,44,18,9,,155,394,.444,,.640,10.1,4.2,1.8,0.5,durreke01
128,Jim Eakins,1977,1977,1,82,1338,151,336,,,188,222,112,361,119,29,49,,195,490,.449,,.847,16.3,6.0,4.4,1.5,eakinji01
129,Jerry Eaves,1987,1987,1,3,26,1,8,0,0,2,2,1,1,0,1,0,2,6,4,.125,,1.000,8.7,1.3,0.3,0.0,eavesje01
