,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,-9999
184,R.J. Hunter,2018,2018,1,5,45,7,20,3,14,2,2,0,5,3,3,0,2,7,19,.350,.214,1.000,9.0,3.8,1.0,0.6,hunterj01
185,Aaron Jackson,2018,2018,1,1,35,3,9,1,4,1,2,2,3,1,0,0,1,4,8,.333,.250,.500,35.0,8.0,3.0,1.0,jacksaa01
186,Bobby Jackson,2008,2008,1,26,498,88,210,28,82,24,32,10,71,63,13,2,28,37,228,.419,.341,.750,19.2,8.8,2.7,2.4,jacksbo01
187,Demetrius Jackson,2018,2018,1,12,63,4,14,0,6,0,0,4,11,5,4,1,9,6,8,.286,.000,,5.3,0.7,0.9,0.4,jacksde01
188,Jaren Jackson,1996,1996,1,4,33,0,8,0,5,8,10,0,3,0,1,0,0,5,8,.000,.000,.800,8.3,2.0,0.8,0.0,jacksja01
189,Jim Jackson,2004,2005,2,104,4109,500,1183,216,552,137,160,62,602,312,109,24,231,294,1353,.423,.391,.856,39.5,13.0,5.8,3.0,jacksji01
190,Mark Jackson,2004,2004,1,42,577,34,100,7,41,28,39,10,70,119,17,1,53,41,103,.340,.171,.718,13.7,2.5,1.7,2.8,jacksma01
191,Dave Jamerson,1991,1992,2,85,580,122,304,13,47,47,54,31,73,60,23,1,44,63,304,.401,.277,.870,6.8,3.6,0.9,0.7,jamerda01
192,Henry James,1996,1996,1,7,58,10,24,5,15,5,5,3,6,2,0,0,4,13,30,.417,.333,1.000,8.3,4.3,0.9,0.3,jameshe01
193,Mike James,2005,2008,2,60,1229,205,517,66,181,75,97,23,138,132,42,4,55,104,551,.397,.365,.773,20.5,9.2,2.3,2.2,jamesmi01
194,DaQuan Jeffries,2021,2021,1,13,261,26,63,11,39,1,1,10,42,16,8,6,6,25,64,.413,.282,1.000,20.1,4.9,3.2,1.2,jeffrda01
195,Jared Jeffries,2010,2011,2,36,470,47,120,2,15,19,37,51,100,29,16,16,18,67,115,.392,.133,.514,13.1,3.2,2.8,0.8,jeffrja01
196,Chris Jent,1994,1994,1,3,78,13,26,4,11,1,2,4,15,7,0,0,5,13,31,.500,.364,.500,26.0,10.3,5.0,2.3,jentch01
197,Avery Johnson,1992,1992,1,49,772,103,222,3,10,42,69,8,45,166,40,6,65,46,251,.464,.300,.609,15.8,5.1,0.9,3.4,johnsav01
