,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,-9999
74,Darren Collison,2014,2014,1,80,2069,324,694,71,189,192,224,47,188,297,93,15,132,150,911,.467,.376,.857,25.9,11.4,2.4,3.7,collida01
75,Marty Conlon,2000,2000,1,3,9,1,2,0,0,0,0,1,2,0,0,0,0,1,2,.500,,,3.0,0.7,0.7,0.0,conloma01
76,Lester Conner,1993,1993,1,31,422,28,62,0,0,18,19,16,49,65,34,4,21,39,74,.452,,.947,13.6,2.4,1.6,2.1,connele01
77,Will Conroy,2007,2007,1,4,35,0,3,0,0,0,4,2,5,8,0,0,2,6,0,.000,,.000,8.8,0.0,1.3,2.0,conrowi01
78,Brian Cook,2011,2012,2,56,568,83,219,39,106,19,28,23,119,17,14,15,29,101,224,.379,.368,.679,10.1,4.0,2.1,0.3,cookbr01
79,Joe Cooper,1983,1983,1,13,275,31,59,0,0,11,20,36,71,15,8,19,23,39,73,.525,,.550,21.2,5.6,5.5,1.2,coopejo01
80,Lanard Copeland,1992,1992,1,10,48,7,23,0,2,2,2,1,7,5,2,0,4,5,16,.304,.000,1.000,4.8,1.6,0.7,0.5,copella01
81,DeMarcus Cousins,2021,2021,1,16,207,51,95,8,19,15,22,23,72,16,13,6,25,33,125,.537,.421,.682,12.9,7.8,4.5,1.0,couside01
82,Robert Covington,2022,2023,2,71,1288,183,391,103,245,58,73,49,283,81,67,61,49,144,527,.468,.420,.795,18.1,7.4,4.0,1.1,covinro01
83,Freddie Crawford,1971,1971,1,15,203,36,106,,,16,26,,35,24,,,,18,88,.340,,.615,13.5,5.9,2.3,1.6,crawffr01
84,Jamal Crawford,2013,2017,5,370,10310,1936,4675,662,1872,1141,1296,111,684,971,310,65,620,536,5675,.414,.354,.880,27.9,15.3,1.8,2.6,crawfja01
85,Charlie Criss,1982,1982,1,28,840,138,288,8,21,76,86,7,44,112,21,4,52,56,360,.479,.381,.884,30.0,12.9,1.6,4.0,crissch01
86,Jeff Cross,1986,1986,1,21,128,6,24,0,0,14,25,9,30,1,2,3,6,38,26,.250,,.560,6.1,1.2,1.4,0.0,crossje01
87,Terry Cummings,1983,1984,2,151,5438,1421,2800,0,4,672,940,626,1521,316,221,119,422,592,3514,.508,.000,.715,36.0,23.3,10.1,2.1,cummite01
88,Jared Cunningham,2015,2015,1,19,89,12,33,4,13,7,13,1,9,10,3,0,7,12,35,.364,.308,.538,4.7,1.8,0.5,0.5,cunnija01
89,Earl Cureton,1987,1988,2,104,1996,247,544,0,4,76,142,196,496,115,50,66,93,221,570,.454,.000,.535,19.2,5.5,4.8,1.1,curetea01
90,JamesOn Curry,2010,2010,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,curryja01
91,Quintin Dailey,1987,1989,3,185,3928,976,2210,4,31,579,754,165,441,342,202,18,316,393,2535,.442,.129,.768,21.2,13.7,2.4,1.8,dailequ01
92,Adrian Dantley,1977,1977,1,77,2816,544,1046,,,476,582,251,587,144,91,15,,215,1564,.520,,.818,36.6,20.3,7.6,1.9,dantlad01
93,Baron Davis,2009,2011,3,183,6040,981,2489,226,776,477,605,127,624,1398,296,100,511,517,2665,.394,.291,.788,33.0,14.6,3.4,7.6,davisba01
