Player\Team,ATL,BKN,BOS,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOH,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
Henry Akin,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Derek Anderson,#N/A,#N/A,#N/A,8,#N/A,9,#N/A,#N/A,#N/A,#N/A,10,#N/A,8,#N/A,#N/A,10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10,#N/A,4,#N/A,#N/A,#N/A
Greg Anderson,5,10,#N/A,#N/A,#N/A,#N/A,#N/A,13,8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5,#N/A,#N/A,#N/A
Kadeem Allen,#N/A,#N/A,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Al-Farouq Aminu,#N/A,#N/A,#N/A,#N/A,5,#N/A,11,#N/A,#N/A,#N/A,#N/A,#N/A,6,#N/A,#N/A,#N/A,#N/A,#N/A,7,#N/A,#N/A,8,#N/A,#N/A,8,#N/A,#N/A,#N/A,#N/A,#N/A
John Amaechi,#N/A,#N/A,#N/A,#N/A,#N/A,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7,#N/A
DeVaughn Akoon-Purcell,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Steve Alford,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8,#N/A,#N/A,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Lou Amundson,#N/A,#N/A,#N/A,#N/A,6,6,#N/A,#N/A,#N/A,8,#N/A,5,#N/A,#N/A,#N/A,#N/A,#N/A,6,8,7,#N/A,#N/A,6,6,#N/A,#N/A,#N/A,#N/A,8,#N/A
Cliff Anderson,#N/A,#N/A,#N/A,#N/A,#N/A,8,#N/A,11,#N/A,#N/A,#N/A,#N/A,#N/A,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
