Player\Team,ATL,BKN,BOS,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOH,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
Kirk Hinrich,224,#N/A,#N/A,#N/A,164,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,178
Mark Hendrickson,#N/A,215,#N/A,#N/A,#N/A,164,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,201,#N/A,#N/A,194,#N/A,#N/A,#N/A,#N/A
Justin Jackson,#N/A,#N/A,208,#N/A,#N/A,#N/A,164,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,204,#N/A,#N/A,#N/A,167,#N/A,#N/A,179,#N/A,224,#N/A,#N/A,#N/A,#N/A
Michael Gbinije,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,164,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Gus Johnson,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,164,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,189,#N/A,#N/A,#N/A,#N/A,#N/A,215
Mel Gibson,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,164,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Sean McDermott,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,164,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Anthony Mason,#N/A,317,#N/A,166,#N/A,#N/A,#N/A,245,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,164,266,#N/A,#N/A,291,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Luc Mbah a Moute,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,252,#N/A,272,#N/A,#N/A,#N/A,274,164,#N/A,#N/A,#N/A,#N/A,318,#N/A,#N/A,295,#N/A,#N/A,#N/A,#N/A
Morris Peterson,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,164,#N/A,276,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,196,#N/A,#N/A
Larry Friend,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,164,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Ollie Johnson,260,#N/A,#N/A,#N/A,186,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,245,#N/A,164,237,#N/A,#N/A,175,#N/A
Jordan Hall,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,164,#N/A,#N/A,#N/A
Tracy McGrady,344,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,316,#N/A,259,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,307,#N/A,174,#N/A,#N/A,#N/A,#N/A,#N/A,164,#N/A,#N/A
Dave Jamerson,#N/A,239,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,191,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,164,#N/A
John Henson,#N/A,#N/A,#N/A,#N/A,#N/A,165,#N/A,#N/A,204,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,178,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Myron Jackson,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,165,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Joe Fulks,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,165,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Juaquin Hawkins,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,165,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Normie Glick,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,165,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Ben McLemore,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,261,#N/A,#N/A,305,165,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,222,307,#N/A,#N/A,#N/A,#N/A
Ernie Grunfeld,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,165,#N/A,#N/A,193,#N/A,#N/A,#N/A,#N/A,#N/A,176,#N/A,#N/A,#N/A,#N/A
Quincy Pondexter,#N/A,#N/A,#N/A,#N/A,283,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,194,#N/A,#N/A,#N/A,165,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,322,#N/A,#N/A,#N/A
Josh Magette,314,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,165,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Richaun Holmes,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,215,165,#N/A,209,#N/A,#N/A,#N/A,#N/A
Joe Hamilton,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,165,#N/A,#N/A,#N/A
Aaron James,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,165,#N/A
Keith Herron,219,#N/A,#N/A,#N/A,#N/A,166,#N/A,#N/A,207,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pierre Jackson,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,166,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Mickey Johnson,#N/A,254,#N/A,#N/A,185,#N/A,#N/A,#N/A,#N/A,244,#N/A,166,#N/A,#N/A,#N/A,#N/A,214,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
De'Anthony Melton,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,166,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,337,263,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Yante Maten,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,166,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Rashad McCants,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,166,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,297,#N/A,#N/A,#N/A,#N/A
James Posey,#N/A,#N/A,347,#N/A,#N/A,#N/A,#N/A,302,#N/A,#N/A,313,266,#N/A,#N/A,197,202,#N/A,#N/A,166,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Royal Ivey,245,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,201,#N/A,#N/A,#N/A,166,#N/A,232,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Nate Johnston,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,166,#N/A,#N/A,#N/A,176,#N/A
Alfonzo McKinnie,#N/A,#N/A,#N/A,#N/A,246,263,#N/A,#N/A,#N/A,320,#N/A,#N/A,#N/A,304,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,166,#N/A,#N/A
Henry James,250,#N/A,#N/A,#N/A,#N/A,191,#N/A,#N/A,#N/A,#N/A,192,#N/A,208,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,226,#N/A,#N/A,166,#N/A
Randy Holcomb,#N/A,#N/A,#N/A,#N/A,167,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Randell Jackson,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,167,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,200
Chris Herren,#N/A,#N/A,191,#N/A,#N/A,#N/A,#N/A,167,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Elvin Hayes,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,167,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,168
Sam Merrill,#N/A,#N/A,#N/A,#N/A,#N/A,266,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,167,#N/A,281,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Rodney McGruder,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,317,#N/A,#N/A,#N/A,278,#N/A,#N/A,167,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Jaden McDaniels,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,167,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Julius Randle,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,366,#N/A,#N/A,#N/A,#N/A,167,378,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Karim Mané,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,167,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Caldwell Jones,#N/A,#N/A,#N/A,#N/A,189,#N/A,#N/A,#N/A,#N/A,#N/A,207,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,252,#N/A,167,#N/A,207,#N/A,#N/A,#N/A
Jodie Meeks,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,325,#N/A,#N/A,#N/A,#N/A,311,#N/A,#N/A,280,#N/A,#N/A,#N/A,#N/A,177,335,#N/A,#N/A,#N/A,#N/A,167,#N/A,285
Vern Hatton,209,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,199,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,187,#N/A,#N/A,#N/A,167
Blake Griffin,#N/A,199,168,#N/A,#N/A,#N/A,#N/A,#N/A,175,#N/A,#N/A,#N/A,170,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Mangok Mathiang,#N/A,#N/A,#N/A,168,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bernard James,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,168,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
C.J. Miles,#N/A,#N/A,290,#N/A,#N/A,269,#N/A,#N/A,#N/A,#N/A,#N/A,220,#N/A,#N/A,168,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,169,222,286
Josh McRoberts,#N/A,#N/A,#N/A,177,#N/A,#N/A,229,#N/A,#N/A,#N/A,#N/A,218,#N/A,309,#N/A,168,#N/A,#N/A,#N/A,#N/A,#N/A,176,#N/A,#N/A,224,#N/A,#N/A,#N/A,#N/A,#N/A
Jordan McLaughlin,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,168,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
J.J. Redick,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,276,#N/A,#N/A,#N/A,#N/A,#N/A,348,#N/A,#N/A,#N/A,337,#N/A,168,#N/A,#N/A,212,403,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Reggie Jackson,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,195,232,#N/A,#N/A,#N/A,206,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,168,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Devyn Marble,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,168,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Robert Horry,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,178,#N/A,#N/A,210,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,168,#N/A,#N/A,180,#N/A,#N/A,#N/A
Charles Jones,#N/A,#N/A,#N/A,#N/A,191,#N/A,#N/A,#N/A,244,#N/A,208,#N/A,219,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,253,197,168,#N/A,#N/A,#N/A,#N/A,218
Gary Gray,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,168,#N/A,#N/A,#N/A,#N/A
Ed Gayda,169,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Gene Guarilia,#N/A,#N/A,169,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Jason Maxiell,#N/A,#N/A,#N/A,169,#N/A,#N/A,#N/A,#N/A,310,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,171,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Wilbur Holland,228,#N/A,#N/A,#N/A,169,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Kenny Higgs,#N/A,#N/A,#N/A,#N/A,#N/A,169,#N/A,174,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Dan Hester,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,169,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Alvin Heggs,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,169,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bud Grant,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,169,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Darius Miles,#N/A,#N/A,#N/A,#N/A,#N/A,270,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,285,#N/A,169,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,225,#N/A,#N/A,#N/A,#N/A,#N/A
Jordan Mickey,#N/A,#N/A,287,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,169,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Keith McLeod,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,322,#N/A,217,#N/A,#N/A,#N/A,#N/A,#N/A,169,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,220,#N/A
Josh Richardson,#N/A,#N/A,362,#N/A,#N/A,#N/A,280,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,211,#N/A,#N/A,169,#N/A,#N/A,#N/A,411,#N/A,#N/A,#N/A,336,#N/A,#N/A,#N/A
Wardell Jackson,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,169,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Richard Jefferson,#N/A,243,#N/A,#N/A,#N/A,194,172,196,#N/A,232,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,207,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,189,#N/A,169,#N/A
Jarvis Hayes,#N/A,213,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,198,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,169
Dee Gibson,170,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Vernon Maxwell,#N/A,#N/A,#N/A,170,#N/A,#N/A,221,#N/A,#N/A,#N/A,251,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,226,172,314,#N/A,#N/A,291,262,#N/A,#N/A,#N/A
A.W. Holt,#N/A,#N/A,#N/A,#N/A,170,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Antawn Jamison,#N/A,#N/A,#N/A,#N/A,#N/A,193,170,#N/A,#N/A,230,#N/A,#N/A,209,228,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,202
Darko Miličić,#N/A,#N/A,291,#N/A,#N/A,#N/A,#N/A,#N/A,331,#N/A,#N/A,#N/A,#N/A,#N/A,170,#N/A,#N/A,170,#N/A,319,#N/A,179,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Mike Miller,#N/A,#N/A,#N/A,#N/A,#N/A,272,#N/A,263,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,171,170,#N/A,173,#N/A,#N/A,#N/A,180,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,289
Austin Rivers,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,311,#N/A,#N/A,329,#N/A,354,#N/A,#N/A,#N/A,#N/A,217,170,391,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,359
Jerome James,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,237,170,#N/A,#N/A,#N/A,#N/A,227,#N/A,#N/A,#N/A,#N/A
Frank Mason III,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,268,#N/A,#N/A,#N/A,#N/A,170,#N/A,#N/A,#N/A,289,#N/A,#N/A,#N/A,#N/A
Malcolm Miller,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,170,#N/A,#N/A
Jonas Jerebko,#N/A,#N/A,213,#N/A,#N/A,#N/A,#N/A,#N/A,236,236,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,170,#N/A
Chick Halbert,#N/A,#N/A,171,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,193,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Sean May,#N/A,#N/A,#N/A,171,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,293,#N/A,#N/A,#N/A,#N/A
Vern Gardner,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,171,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Tom Henderson,215,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,171,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,173
Terry Mills,#N/A,337,#N/A,#N/A,#N/A,#N/A,#N/A,265,334,#N/A,#N/A,225,#N/A,#N/A,#N/A,171,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
